application_id,company_canonical,role_as_listed,date_applied,exposure_days,days_to_response_strict,days_to_response_broad,days_to_interview,role_lane,ats_system,month
adapt|gtm-engineer-revops-lead|c1,Adapt,GTM Engineer / RevOps Lead,2026-03-27,155,,,,explicit_gtm_engineering,Dover,2026-03
dagster-labs|gtm-engineer|c1,Dagster Labs,GTM Engineer,2026-03-30,152,4,4,4,explicit_gtm_engineering,Greenhouse,2026-03
g2|gtm-engineer|c1,G2,GTM Engineer,2026-03-30,152,10,10,,explicit_gtm_engineering,Ashby,2026-03
pandadoc|gtm-engineer|c1,PandaDoc,GTM Engineer,2026-03-30,152,28,28,,explicit_gtm_engineering,Greenhouse,2026-03
roboflow|revops-gtm-engineer|c1,Roboflow,RevOps GTM Engineer,2026-03-30,152,,,,explicit_gtm_engineering,Ashby,2026-03
tapcheck|unspecified|c1,Tapcheck,unspecified,2026-03-30,152,7,1,,unspecified,Ashby,2026-03
tiger-data|gtm-ai-engineer|c1,Tiger Data,GTM AI Engineer,2026-03-30,152,0,0,,explicit_gtm_engineering,Ashby,2026-03
unstructured|gtm-engineer-operations|c1,Unstructured,"GTM Engineer, Operations",2026-03-30,152,,,,explicit_gtm_engineering,Lever,2026-03
vercel|gtm-engineer|c1,Vercel,GTM Engineer,2026-03-30,152,,,,explicit_gtm_engineering,none_observed,2026-03
boulevard|gtm-engineer|c1,Boulevard,GTM Engineer,2026-03-31,151,65,65,,explicit_gtm_engineering,Greenhouse,2026-03
disqo|gtm-engineer|c1,DISQO,GTM Engineer,2026-03-31,151,,,,explicit_gtm_engineering,Lever,2026-03
phrasiq|unspecified|c1,PhrasIQ,unspecified,2026-03-31,151,2,0,2,unspecified,none_observed,2026-03
brand-ai|gtme|c1,Brand.ai,GTME,2026-04-02,149,5,5,,explicit_gtm_engineering,none_observed,2026-04
companycam|gtm-systems-engineer|c1,CompanyCam,GTM Systems Engineer,2026-04-03,148,,,,explicit_gtm_engineering,none_observed,2026-04
fixify|gtm-engineer-contract|c1,Fixify,GTM Engineer (Contract),2026-04-03,148,,3,,explicit_gtm_engineering,Greenhouse,2026-04
liatrio|gtm-revops-engineer|c1,Liatrio,GTM RevOps Engineer,2026-04-05,146,,,,explicit_gtm_engineering,Lever,2026-04
appgate|gtm-engineer|c1,AppGate,GTM Engineer,2026-04-06,145,,,,explicit_gtm_engineering,Workable,2026-04
payabli|gtm-engineer|c1,Payabli,GTM Engineer,2026-04-06,145,,,,explicit_gtm_engineering,Ashby,2026-04
pearl|lead-gtm-engineer|c1,Pearl,Lead GTM Engineer,2026-04-06,145,24,24,24,explicit_gtm_engineering,Ashby,2026-04
rula|gtm-engineer-remote|c1,Rula,GTM Engineer Remote,2026-04-06,145,16,16,,explicit_gtm_engineering,Ashby,2026-04
sardine|gtm-engineer|c1,Sardine,GTM Engineer,2026-04-06,145,3,3,,explicit_gtm_engineering,Ashby,2026-04
solv-health|unspecified|c1,Solv Health,unspecified,2026-04-06,145,15,15,,unspecified,Rippling,2026-04
unframe|gtm-engineer|c1,Unframe,GTM Engineer,2026-04-06,145,36,36,,explicit_gtm_engineering,Greenhouse,2026-04
wrapbook|gtm-systems-engineer|c1,Wrapbook,GTM Systems Engineer,2026-04-06,145,,,,explicit_gtm_engineering,Ashby,2026-04
valsoft|gtm-engineer-dockmaster|c1,Valsoft,"GTM Engineer, DockMaster",2026-04-06,145,,,,explicit_gtm_engineering,Workable,2026-04
sur|ai-revenue-engineer|c1,Sur,AI Revenue Engineer,2026-04-09,142,0,0,,explicit_gtm_engineering,Workable,2026-04
airops|growth-engineer|c1,AirOps,Growth Engineer,2026-04-10,141,,,,growth_demand_marketing,Ashby,2026-04
auctane|pre-sales-engineer|c1,Auctane,Pre-Sales Engineer,2026-04-10,141,34,34,,sales_solutions_engineering,Greenhouse,2026-04
cresta|gtm-engineer|c1,Cresta,GTM Engineer,2026-04-10,141,,,,explicit_gtm_engineering,none_observed,2026-04
langchain|gtm-engineer|c1,LangChain,GTM Engineer,2026-04-10,141,,,,explicit_gtm_engineering,Ashby,2026-04
ontra|unspecified|c1,Ontra,unspecified,2026-04-10,141,14,14,,unspecified,Ashby,2026-04
redis|gtm-engineer|c1,Redis,GTM Engineer,2026-04-10,141,,,,explicit_gtm_engineering,Ashby,2026-04
rollstack|ai-growth-hacker|c1,Rollstack,AI Growth Hacker,2026-04-10,141,,,,growth_demand_marketing,Ashby,2026-04
teleport|gtm-engineer|c1,Teleport,GTM Engineer,2026-04-14,137,23,23,,explicit_gtm_engineering,Ashby,2026-04
wallstreetquants|unspecified|c1,WallStreetQuants,unspecified,2026-04-17,134,,,,unspecified,Workable,2026-04
fossa|unspecified|c1,FOSSA,unspecified,2026-04-22,129,28,28,,unspecified,Greenhouse,2026-04
oxos-medical|gtm-engineer|c1,OXOS Medical,GTM Engineer,2026-04-27,124,,,,explicit_gtm_engineering,Greenhouse,2026-04
trase|gtm-engineer-healthcare|c1,Trase,"GTM Engineer, Healthcare",2026-04-27,124,74,74,,explicit_gtm_engineering,Greenhouse,2026-04
10x-genomics|unspecified|c1,10x Genomics,unspecified,2026-05-02,119,12,12,,unspecified,Greenhouse,2026-05
spider-cloud|growth-lead|c1,Spider.cloud,Growth lead,2026-05-03,118,,,,growth_demand_marketing,none_observed,2026-05
tractian|senior-gtm-engineer-hubspot|c1,TRACTIAN,"Senior GTM Engineer, Hubspot",2026-05-19,102,,,,explicit_gtm_engineering,Lever,2026-05
practical-prospecting|unspecified|c1,Practical Prospecting,unspecified,2026-05-20,101,,,,unspecified,none_observed,2026-05
airtable|gtm-engineer|c1,Airtable,GTM Engineer,2026-05-21,100,6,6,,explicit_gtm_engineering,none_observed,2026-05
apartmentiq|unspecified|c1,ApartmentIQ,unspecified,2026-05-21,100,7,7,,unspecified,Greenhouse,2026-05
applied-systems|sales-enablement-gtm-readiness-lead|c1,Applied Systems,Sales Enablement GTM Readiness Lead,2026-05-21,100,,0,,revops_gtm_ops_strategy,iCIMS,2026-05
colab-software|sales-engineer|c1,CoLab Software,Sales Engineer,2026-05-21,100,,7,,sales_solutions_engineering,Greenhouse,2026-05
dbeaver|gtm-engineer|c1,DBeaver,GTM Engineer,2026-05-21,100,15,15,,explicit_gtm_engineering,Greenhouse,2026-05
deepgram|gtm-engineer|c1,Deepgram,GTM Engineer,2026-05-21,100,1,1,,explicit_gtm_engineering,Ashby,2026-05
fossa|unspecified|c2,FOSSA,unspecified,2026-05-21,100,,,,unspecified,Greenhouse,2026-05
nebius|director-gtm-physical-ai|c1,Nebius,Director GTM Physical AI,2026-05-21,100,56,56,,explicit_gtm_engineering,Greenhouse,2026-05
nice|ai-solution-strategist|c1,NICE,AI Solution Strategist,2026-05-21,100,,,,sales_solutions_engineering,Greenhouse,2026-05
onit|sales-engineer|c1,Onit,Sales Engineer,2026-05-21,100,,,,sales_solutions_engineering,Lever,2026-05
pindrop|gtm-systems-platform-specialist|c1,Pindrop,GTM Systems Platform Specialist,2026-05-21,100,6,6,,explicit_gtm_engineering,Greenhouse,2026-05
servicetrade|unspecified|c1,ServiceTrade,unspecified,2026-05-21,100,8,8,,unspecified,none_observed,2026-05
telnyx|unspecified|c1,Telnyx,unspecified,2026-05-21,100,,,,unspecified,Greenhouse,2026-05
tractian|sales-engineer-automation|c1,TRACTIAN,"Sales Engineer, Automation",2026-05-21,100,,,,sales_solutions_engineering,Lever,2026-05
vitalsource|ai-enablement-lead|c1,VitalSource,AI Enablement Lead,2026-05-21,100,,,,other,Jobvite,2026-05
evenup|ai-adoption-manager-southeast|c1,EvenUp,"AI Adoption Manager, Southeast",2026-05-25,96,10,10,,other,Ashby,2026-05
speechify|go-to-market-engineer-atlanta|c1,Speechify,"Go-to-Market Engineer, Atlanta",2026-05-25,96,,,,explicit_gtm_engineering,Greenhouse,2026-05
apollo-io|unspecified|c1,Apollo.io,unspecified,2026-05-28,93,,,,unspecified,Greenhouse,2026-05
4mindsai|gtm-engineer|c1,4MindsAI,GTM Engineer,2026-06-04,86,,,,explicit_gtm_engineering,none_observed,2026-06
adaptive6|sales-engineer|c1,Adaptive6,Sales Engineer,2026-06-04,86,12,12,,sales_solutions_engineering,Comeet,2026-06
cloudflare|gtm-engineer|c1,Cloudflare,GTM Engineer,2026-06-04,86,19,19,,explicit_gtm_engineering,none_observed,2026-06
huzzle|gtm-engineer|c1,Huzzle,GTM Engineer,2026-06-04,86,0,0,,explicit_gtm_engineering,Workable,2026-06
pogo-technologies|gtm-engineer|c1,Pogo Technologies,GTM Engineer,2026-06-04,86,,22,,explicit_gtm_engineering,Gem,2026-06
revspring|lead-agentic-operations-gtm-engineering|c1,RevSpring,"Lead, Agentic Operations + GTM Engineering",2026-06-04,86,6,6,6,explicit_gtm_engineering,none_observed,2026-06
atlanta-public-schools|unspecified|c1,Atlanta Public Schools,unspecified,2026-06-19,71,3,0,,other,none_observed,2026-06
anduril-industries|technical-operations-engineer-launched-effects|c1,Anduril Industries,"Technical Operations Engineer, Launched Effects",2026-06-21,69,,,,product_ai_technical,none_observed,2026-06
armada|ai-factory-value-engineer|c1,Armada,"AI Factory, Value Engineer",2026-06-22,68,,,,sales_solutions_engineering,Greenhouse,2026-06
jobgether|gtm-engineer|c1,Jobgether,GTM Engineer,2026-06-22,68,1,1,,explicit_gtm_engineering,none_observed,2026-06
mercor|education-school-evaluator|c1,Mercor,Education / school Evaluator,2026-06-22,68,7,7,,other,none_observed,2026-06
mercor|general-sales-gtm-evaluator|c1,Mercor,General Sales / GTM Evaluator,2026-06-22,68,7,7,,sales_bd_partnerships,none_observed,2026-06
syncro|gtm-operations-manager|c1,Syncro,GTM Operations Manager,2026-06-22,68,,,,revops_gtm_ops_strategy,none_observed,2026-06
wealth-com|gtm-engineer|c1,Wealth.com,GTM Engineer,2026-06-22,68,0,0,,explicit_gtm_engineering,Ashby,2026-06
attentive|gtm-engineer|c1,Attentive,GTM Engineer,2026-06-22,68,,,,explicit_gtm_engineering,Greenhouse,2026-06
ibm|manager-applied-ai-gtm-systems|c1,IBM,"Manager, Applied AI & GTM Systems",2026-06-22,68,,,,explicit_gtm_engineering,none_observed,2026-06
automation-anywhere|sales-engineer|c1,Automation Anywhere,Sales Engineer,2026-06-24,66,,,,sales_solutions_engineering,Workday,2026-06
canals|sales-manager|c1,Canals,Sales Manager,2026-06-24,66,,,,sales_bd_partnerships,Ashby,2026-06
clay|growth-strategist-enterprise|c1,Clay,"Growth Strategist, Enterprise",2026-06-24,66,1,1,,growth_demand_marketing,Ashby,2026-06
