company,role,applied_date,date_precision,outcome,outcome_date,channel,evidence_tier,stratum,source
Gradient Labs,GTM Engineer,,unknown,rejected_no_interview,2026-07-27,ashby,A,gmail/ATS,logs 010;011
graph.one,unspecified,,unknown,unknown,2025-08-05,email_direct,C,gmail/ATS,logs 002
Hyperbound,Founding RevOps Lead,,unknown,rejected_no_interview,2026-07-17,ashby,A,gmail/ATS,logs 011
Jobright.ai,Product Manager (Early Career),,unknown,rejected_no_interview,2026-03-31,unknown,B,gmail/ATS,logs 006
Leidos Systems,Software Engineer III REQ16295,,unknown,interview_scheduled,2025-09-26,dover,B,gmail/ATS,logs 001
Lumenalta,unspecified,,unknown,unknown,2026-04-10,email_direct,B,gmail/ATS,logs 005;006
Meshy,unspecified,,unknown,unknown,2025-06-01,email_direct,A,gmail/ATS,logs 003
New Relic,unspecified,,unknown,unknown,,email_direct,B,gmail/ATS,logs 006
OpenObserve,Growth Marketer,,unknown,rejected_no_interview,2026-08-24,ashby,A,gmail/ATS,logs 010
PhrasIQ,Founding GTM / GTME,,unknown,interview_scheduled,2026-03-31,wellfound,A,gmail/ATS,logs 006
Pin,unspecified,,unknown,rejected_after_interview,2025-07-07,unknown,A,gmail/ATS,logs 024;025
Rippling,"Software Engineering Manager, Banking",,unknown,interview_scheduled,2025-12-14,dover,B,gmail/ATS,logs 004
SmartMode AI,unspecified,,unknown,interview_scheduled,2025-07-18,email_direct,B,gmail/ATS,logs 002
Spot AI,unspecified,,unknown,unknown,,greenhouse,B,gmail/ATS,logs 002
Stellar,Substitute,,unknown,role_paused_or_closed,2026-07-28,unknown,B,gmail/ATS,logs 010;015
Switchyards,Launch Manager,,unknown,rejected_no_interview,2025-08-19,unknown,A,gmail/ATS,logs 018;020
Switchyards,Digital Product Builder,,unknown,rejected_no_interview,2026-04-25,unknown,A,gmail/ATS,logs 018
TestGorilla,GTM Engineer,,unknown,assessment_sent,2026-02-20,teamtailor,A,gmail/ATS,logs 006;007;009
The Hog,Founding GTM Engineer,,unknown,assessment_sent,2026-06-18,unknown,B,gmail/ATS,logs 021
Trace3,SDR,,unknown,role_paused_or_closed,2025-06-25,greenhouse,A,gmail/ATS,logs 003
Vonage,SDR API/CPaaS,,unknown,rejected_no_interview,2025-12-08,greenhouse,A,gmail/ATS,logs 004
