linkedin_row_id,date_applied,date_precision,company_as_listed,role_as_listed,job_url,resume_name,discovery_source,submission_channel,evidence_tier,evidence_class,register,dedupe_status
LI-024,2026-03-23 18:33,exact,Casper Studios,GTM Engineer,http://www.linkedin.com/jobs/view/4381059333,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-025,2026-03-27 09:28,exact,DISQO,GTM Engineer,http://www.linkedin.com/jobs/view/4385292987,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-026,2026-03-30 06:48,exact,PandaDoc,GTM Engineer,http://www.linkedin.com/jobs/view/4369211319,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-027,2026-03-31 03:30,exact,NetRise,Go To Market (GTM) Engineer / Outbound Pipeline Development,http://www.linkedin.com/jobs/view/4391881176,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-028,2026-03-31 15:19,exact,Fractional Demand,GTM Engineer,http://www.linkedin.com/jobs/view/4392111555,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-029,2026-04-01 03:44,exact,Crossing Hurdles,GTM Lead,http://www.linkedin.com/jobs/view/2147622960,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-030,2026-04-06 06:30,exact,QuadSci,Marketing GTM Engineer,http://www.linkedin.com/jobs/view/4389770201,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-031,2026-04-06 06:33,exact,Recur Software,GTM Engineer,http://www.linkedin.com/jobs/view/4383852596,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-032,2026-04-06 06:42,exact,AppGate,GTM Engineer,http://www.linkedin.com/jobs/view/4393579449,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-033,2026-04-06 08:51,exact,Bask Health,Sales Engineer,http://www.linkedin.com/jobs/view/4389308174,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-034,2026-04-06 08:51,exact,COLOSSUS TECHNOLOGY GROUP,GTM Engineer,http://www.linkedin.com/jobs/view/4385958618,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-035,2026-04-06 08:52,exact,2X,GTM Engineer,http://www.linkedin.com/jobs/view/4378539250,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-036,2026-04-06 09:00,exact,BX Studio,GTM Engineer,http://www.linkedin.com/jobs/view/4396642778,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-037,2026-04-09 16:40,exact,RevPilots,GTM Engineer,http://www.linkedin.com/jobs/view/4399435968,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-038,2026-04-10 02:30,exact,Verdent AI,Growth Marketing,http://www.linkedin.com/jobs/view/4399890339,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-039,2026-04-10 02:50,exact,Auctane,Pre-Sales Engineer - Atlanta,http://www.linkedin.com/jobs/view/4362136934,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-040,2026-04-10 02:51,exact,CRMIT Solutions,Ai Solutions Sales Specialist,http://www.linkedin.com/jobs/view/4394347364,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-041,2026-04-16 22:13,exact,Crash Override,Growth Engineer,http://www.linkedin.com/jobs/view/4402520314,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-042,2026-04-16 22:14,exact,Wall Street Quants,Marketing / GTM Engineer,http://www.linkedin.com/jobs/view/4402656770,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-043,2026-04-19 04:42,exact,Durham Geo Slope Indicator (DGSI),Technical Sales Engineer,http://www.linkedin.com/jobs/view/4389562890,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-044,2026-05-19 19:29,exact,Freshtix,Business Development Manager,http://www.linkedin.com/jobs/view/4416695523,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-045,2026-05-25 17:33,exact,AICRO,GTM Engineer,http://www.linkedin.com/jobs/view/4419107568,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-046,2026-05-26 08:34,exact,SoTalent,Generative AI Agent Engineer (Remote),http://www.linkedin.com/jobs/view/4415219033,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-047,2026-05-26 08:34,exact,Piper AI,Growth & Content,http://www.linkedin.com/jobs/view/4419427998,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-048,2026-05-26 08:35,exact,Jobright.ai,"Product Manager, Entry Level",http://www.linkedin.com/jobs/view/4418256672,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-049,2026-06-03 21:57,exact,Valoh,Fractional GTM Operations Lead,http://www.linkedin.com/jobs/view/4423070262,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-050,2026-06-03 21:59,exact,Kognitos,Senior Solutions Engineer,http://www.linkedin.com/jobs/view/4423062275,KM2026.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-051,2026-06-04 02:53,exact,MAJC✨,Revenue Operations & Business Development,http://www.linkedin.com/jobs/view/4422637582,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-052,2026-06-04 02:54,exact,Adaptive6,Sales Engineer,http://www.linkedin.com/jobs/view/4391888373,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-053,2026-06-04 02:54,exact,IntelliPro,Founding Sales - AI Generic,http://www.linkedin.com/jobs/view/4412148637,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-054,2026-06-04 02:57,exact,The Hog (YC F25),Founding GTM Engineer,http://www.linkedin.com/jobs/view/4421369110,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-055,2026-06-04 03:00,exact,Huzzle.com,GTM Engineer,http://www.linkedin.com/jobs/view/4422680810,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-056,2026-06-04 03:00,exact,Lyra Health,Senior GTM Enablement Specialist,http://www.linkedin.com/jobs/view/4422091179,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-057,2026-06-04 03:01,exact,Vi,Sr. Forward Deployed Engineer,http://www.linkedin.com/jobs/view/4424011681,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-058,2026-06-04 03:02,exact,Jobright.ai,AI Engineer,http://www.linkedin.com/jobs/view/4424269580,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-059,2026-06-04 03:02,exact,Scout Global,Forward Deployed Engineer,http://www.linkedin.com/jobs/view/4415272670,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-060,2026-06-04 03:03,exact,Evolution USA,Forward Deplyed Engineer (FDE) - Applied AI / GenAI (Remote),http://www.linkedin.com/jobs/view/4424240607,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-061,2026-06-04 04:01,exact,GridBank,GTM Engineer,http://www.linkedin.com/jobs/view/4404318566,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-062,2026-06-07 22:19,exact,SOLAYA,GTM Engineer,http://www.linkedin.com/jobs/view/4420626352,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-063,2026-06-08 17:44,exact,Greenway Collins,GTM Engineer | Remote (US),http://www.linkedin.com/jobs/view/4425484374,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-064,2026-06-17 10:35,exact,RTScale AI,Founding Growth Lead,http://www.linkedin.com/jobs/view/4429730979,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-065,2026-06-21 01:02,exact,The Vincit Group,Systems Engineering and Sales,http://www.linkedin.com/jobs/view/4420136034,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-066,2026-06-21 01:02,exact,Durham Geo Slope Indicator (DGSI),Technical Sales Engineer,http://www.linkedin.com/jobs/view/4418281073,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-067,2026-06-21 05:43,exact,TrueBuilt,GTM Engineer,http://www.linkedin.com/jobs/view/4428082624,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-068,2026-06-21 19:39,exact,DripShop,Growth Lead - User Acquisition,http://www.linkedin.com/jobs/view/4430091744,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-069,2026-06-22 04:09,exact,Ritz Instrument Transformers USA,Sales Engineer,http://www.linkedin.com/jobs/view/4404203312,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-070,2026-06-22 04:10,exact,Hartfiel Automation,Sales Engineer,http://www.linkedin.com/jobs/view/4429539770,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-071,2026-06-22 04:10,exact,Franklin Fitch,AI Training and Adoption Consultant,http://www.linkedin.com/jobs/view/4429984671,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-072,2026-06-22 07:25,exact,HorizonAI Talent,Forward Deployed Engineer,http://www.linkedin.com/jobs/view/4430934105,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-073,2026-06-22 07:26,exact,Armada,"AI Factory, Value Engineer",http://www.linkedin.com/jobs/view/4420247062,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-074,2026-06-22 07:28,exact,Attentive,GTM Engineer,http://www.linkedin.com/jobs/view/4389964157,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-075,2026-06-22 08:10,exact,Jobgether,GTM Engineer,http://www.linkedin.com/jobs/view/4427466730,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-076,2026-06-22 12:10,exact,Roc Search,Founding GTM Strategy,http://www.linkedin.com/jobs/view/4431766172,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-077,2026-06-24 11:38,exact,Melavex,Founding GTM Lead,http://www.linkedin.com/jobs/view/4427560845,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-078,2026-06-24 15:33,exact,Robert Half,Go-To-Market Lead,http://www.linkedin.com/jobs/view/4426606510,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-079,2026-06-24 15:42,exact,Hippocratic AI,Deployment Strategist,http://www.linkedin.com/jobs/view/4422676328,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-080,2026-06-25 04:19,exact,Hermetic AI,"Sales Development Representative - Atlanta, GA",http://www.linkedin.com/jobs/view/4431305953,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-081,2026-07-06 12:28,exact,TechLinkSphere,Micro-SaaS Launch & Growth Engineer,http://www.linkedin.com/jobs/view/4436063352,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-082,2026-07-06 14:12,exact,Inworld AI,GTM Lead,http://www.linkedin.com/jobs/view/4360055693,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-083,2026-07-06 14:12,exact,Company.ai,GTM Sales Lead,http://www.linkedin.com/jobs/view/4360396738,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-084,2026-07-07 17:01,exact,Duckbill,Founding Sales / GTM,http://www.linkedin.com/jobs/view/4436847982,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-085,2026-07-12 13:39,exact,Entelligence.AI,Founding GTM,http://www.linkedin.com/jobs/view/4429363758,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-086,2026-07-12 13:45,exact,Nudge AI,Growth Lead,http://www.linkedin.com/jobs/view/4396375043,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-087,2026-07-12 13:45,exact,Human Delta,Founding GTM Engineer,http://www.linkedin.com/jobs/view/4379699068,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-088,2026-07-12 13:53,exact,The Biological Computing Co. (TBC),Lead Sales and Product Engineer,http://www.linkedin.com/jobs/view/4430873489,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-089,2026-07-12 15:10,exact,talentpluto,Go-to-Market Engineer,http://www.linkedin.com/jobs/view/4438813846,,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-090,2026-07-12 15:11,exact,Sidepocket,Go-To-Market Growth Engineer,http://www.linkedin.com/jobs/view/4434887595,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-091,2026-07-12 15:12,exact,Logicbroker,AI GTM Engineer,http://www.linkedin.com/jobs/view/4433617553,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-092,2026-07-12 15:12,exact,"Method Recruiting, a 3x Inc. 5000 company",Founding GTM Engineer,http://www.linkedin.com/jobs/view/4432661212,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-093,2026-07-12 15:13,exact,Taste Labs,Growth Lead,http://www.linkedin.com/jobs/view/4428044935,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-094,2026-07-12 15:14,exact,talentpluto,GTM Engineer,http://www.linkedin.com/jobs/view/4434255520,,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-095,2026-07-12 15:14,exact,Light Labs,"GTM Engineer, Agents",http://www.linkedin.com/jobs/view/4377633056,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-096,2026-07-12 15:17,exact,Stealth Startup,GTM Leader / Head of Growth [33260],http://www.linkedin.com/jobs/view/4433920623,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-097,2026-07-12 15:19,exact,HartleyCo,GTM Engineer,http://www.linkedin.com/jobs/view/4433942058,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-098,2026-07-12 15:20,exact,Kana,GTM Engineer,http://www.linkedin.com/jobs/view/4427085765,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-099,2026-07-12 15:20,exact,Coverwatch,Founding GTM,http://www.linkedin.com/jobs/view/4425678611,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-100,2026-07-12 15:21,exact,Massive,GTM,http://www.linkedin.com/jobs/view/4438841359,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-101,2026-07-12 19:51,exact,Baton AI,Founding GTM,http://www.linkedin.com/jobs/view/4432139171,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-102,2026-07-18 06:31,exact,Elios AI,Senior Forward Deployed Engineer,http://www.linkedin.com/jobs/view/4436839048,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-103,2026-07-22 09:19,exact,Ailytics,Revenue Operations (RevOps) Specialist,http://www.linkedin.com/jobs/view/4438496260,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-104,2026-07-26 06:40,exact,Fractional Demand,GTM Engineer,http://www.linkedin.com/jobs/view/4444497996,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
LI-105,2026-07-26 07:35,exact,Doomers AI,Founding GTM,http://www.linkedin.com/jobs/view/4444837068,KMOODY2026MAY.resume.pdf,linkedin,linkedin_easy_apply,A,platform_log,application,UNCHECKED
