application_id,company_canonical,coded_discovery_source,recovery_tier,recovered_source,evidence_class
dekalb-county-school-district|area-3-elementary-star-substitute-murphey-candler-es|c1,DeKalb County School District,unknown,unrecoverable,,employer_artifact
dekalb-county-school-district|area-3-elementary-star-substitute-rowland-es|c1,DeKalb County School District,unknown,unrecoverable,,employer_artifact
dekalb-county-school-district|area-4-elementary-substitute-star-browns-mill-es|c1,DeKalb County School District,unknown,unrecoverable,,employer_artifact
dekalb-county-school-district|area-high-school-star-substitute-columbia-hs|c1,DeKalb County School District,unknown,unrecoverable,,employer_artifact
dekalb-county-school-district|horizon-area-substitute-star-flat-rock-es|c1,DeKalb County School District,unknown,unrecoverable,,employer_artifact
dekalb-county-school-district|specialty-area-star-substitute-margaret-harris-comprehensive|c1,DeKalb County School District,unknown,unrecoverable,,employer_artifact
designit|unspecified|c1,Designit,unknown,unrecoverable,,employer_artifact
disqo|gtm-engineer|c1,DISQO,unknown,recoverable_from_platform_export,linkedin,employer_artifact
douglas-county-school-system|unspecified|c1,Douglas County School System,unknown,unrecoverable,,employer_artifact
drata|sdr-remote|c1,Drata,unknown,unrecoverable,,employer_artifact
enlace-health|sales-engineer|c1,Enlace Health,unknown,recoverable_from_platform_export,jobright,employer_artifact
evenup|ai-adoption-manager-southeast|c1,EvenUp,unknown,unrecoverable,,employer_artifact
every-to|gtm-engineer|c1,Every.to,unknown,unrecoverable,,employer_artifact
fibr-ai|founding-sdr-ae|c1,Fibr AI,wellfound,captured_at_write_time,wellfound,employer_artifact
firstup|manager-gtm-systems|c1,Firstup,ladders,captured_at_write_time,ladders,employer_artifact
fixify|gtm-engineer-contract|c1,Fixify,unknown,unrecoverable,,employer_artifact
fossa|unspecified|c1,FOSSA,unknown,recoverable_from_platform_export,jobright,employer_artifact
fossa|unspecified|c2,FOSSA,unknown,recoverable_from_platform_export,jobright,employer_artifact
foursquare|ae-new-business|c1,Foursquare,unknown,recoverable_from_platform_export,jobright,employer_artifact
fullsteam|senior-sales-development-representative|c1,Fullsteam,unknown,unrecoverable,,employer_artifact
g2|gtm-engineer|c1,G2,unknown,unrecoverable,,employer_artifact
galileo|growth-engineer|c1,Galileo,unknown,unrecoverable,,employer_artifact
galileo|gtm-engineer|c1,Galileo,unknown,unrecoverable,,employer_artifact
gather-ai|gtm-engineer|c1,Gather AI,unknown,unrecoverable,,employer_artifact
gatherup|unspecified|c1,GatherUp,unknown,unrecoverable,,employer_artifact
gigs|unspecified|c1,Gigs,unknown,recoverable_from_platform_export,linkedin,employer_artifact
gitlab|gtm-planning-operations-analyst|c1,GitLab,unknown,recoverable_from_platform_export,linkedin,employer_artifact
gradient-labs|gtm-engineer|c1,Gradient Labs,unknown,unrecoverable,,employer_artifact
great-question|senior-demand-generation-manager|c1,Great Question,unknown,unrecoverable,,employer_artifact
gtp-software|revenue-enablement-manager|c1,GTP Software,unknown,unrecoverable,,employer_artifact
handshake|gtm-engineer|c1,Handshake,unknown,unrecoverable,,employer_artifact
headway|growth-marketing-specialist|c1,Headway,unknown,unrecoverable,,employer_artifact
hex|sdr|c1,Hex,unknown,unrecoverable,,employer_artifact
higgsfield|gtm-engineer|c1,Higgsfield,unknown,unrecoverable,,employer_artifact
hightouch|go-to-market-engineer|c1,Hightouch,unknown,unrecoverable,,employer_artifact
hologram|gtm-engineer-pre-sales|c1,Hologram,unknown,unrecoverable,,employer_artifact
hud|gtm-engineer|c1,HUD,unknown,unrecoverable,,employer_artifact
huzzle|gtm-engineer|c1,Huzzle,unknown,recoverable_from_platform_export,linkedin,employer_artifact
hyperbound|founding-revops-lead|c1,Hyperbound,unknown,unrecoverable,,employer_artifact
hypergen|gtm-engineer|c1,Hypergen,unknown,unrecoverable,,employer_artifact
inertia-growth|outbound-campaign-manager|c1,Inertia Growth,unknown,unrecoverable,,employer_artifact
infisical|founding-growth-marketer|c1,Infisical,wellfound,captured_at_write_time,wellfound,employer_artifact
inrule-technology|unspecified|c1,InRule Technology,unknown,unrecoverable,,employer_artifact
insignia-collab|unspecified|c1,Insignia Collab,unknown,unrecoverable,,employer_artifact
inven-ai|unspecified|c1,Inven.ai,unknown,unrecoverable,,employer_artifact
itc-infotech|manager-business-development|c1,ITC Infotech,unknown,unrecoverable,,employer_artifact
jobgether|gtm-engineer|c1,Jobgether,unknown,recoverable_from_platform_export,linkedin,employer_artifact
langchain|gtm-engineer|c1,LangChain,unknown,unrecoverable,,employer_artifact
lattice|gtm-engineer|c1,Lattice,ladders,captured_at_write_time,ladders,employer_artifact
liatrio|gtm-revops-engineer|c1,Liatrio,unknown,unrecoverable,,employer_artifact
linear|ae-growth|c1,Linear,unknown,unrecoverable,,employer_artifact
listen-labs|lead-gtm-engineer|c1,Listen Labs,unknown,recoverable_from_platform_export,linkedin,employer_artifact
