company_normalized,in_workbook,in_repository_full_census,workbook_rows,workbook_categories,repository_register,repository_evidence_class,verdict
pindrop,yes,yes,2,Direct application / ATS; Jobright.ai application,application,employer_artifact,both
pinterest,yes,yes,1,Direct application / ATS,application,employer_artifact,both
piper,yes,yes,1,LinkedIn application,application,platform_log,both
pogo,yes,yes,3,Direct application / ATS,application,employer_artifact,both
practicalprospecting,no,yes,0,,application,employer_artifact,repository_only
primer,yes,yes,1,Jobright.ai application,application,employer_artifact,both
productboard,yes,yes,2,Direct application / ATS,application,employer_artifact,both
proofpoint,yes,yes,1,Direct application / ATS,application,employer_artifact,both
propel,yes,yes,1,LinkedIn application,application,platform_log,both
proteantecs,yes,yes,1,LinkedIn application,application,employer_artifact,both
protecht,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
quadsci,yes,yes,1,LinkedIn application,application,platform_log,both
recur,yes,yes,1,LinkedIn application,application,platform_log,both
redis,yes,yes,1,Direct application / ATS,application,employer_artifact,both
replit,yes,yes,1,Jobright.ai application,application,employer_artifact,both
revic,no,yes,0,,application,employer_artifact,repository_only
revpartners,yes,yes,2,Direct application / ATS; Jobright.ai application,application,platform_log,both
revpilots,yes,yes,1,LinkedIn application,application,platform_log,both
revspring,yes,yes,1,LinkedIn recruiter/person outreach,application,employer_artifact,both
ritzinstrumenttransformersusa,yes,yes,1,LinkedIn application,application,platform_log,both
roberthalf,yes,yes,1,LinkedIn application,application,platform_log,both
roboflow,yes,yes,1,Direct application / ATS,application,employer_artifact,both
rocsearch,yes,yes,1,LinkedIn application,application,platform_log,both
rollstack,yes,yes,1,Direct application / ATS,application,employer_artifact,both
rtscale,yes,yes,1,LinkedIn application,application,platform_log,both
rula,yes,yes,1,Direct application / ATS,application,employer_artifact,both
runway,yes,yes,1,Direct application / ATS,application,employer_artifact,both
sage,yes,yes,1,LinkedIn recruiter/person outreach,application,employer_artifact,both
sailpoint,yes,yes,1,Direct application / ATS,application,employer_artifact,both
sardine,yes,yes,1,Direct application / ATS,application,employer_artifact,both
scaleops,yes,yes,1,Direct application / ATS,application,employer_artifact,both
scoutglobal,yes,yes,2,LinkedIn application,application,platform_log,both
scoutlab,yes,no,1,LinkedIn application,,,workbook_only_application
scribe,yes,yes,1,Direct application / ATS,application,employer_artifact,both
seamless,yes,yes,1,Direct application / ATS,application,employer_artifact,both
sentilink,yes,yes,2,Direct application / ATS,application,employer_artifact,both
servicetrade,yes,yes,1,Jobright.ai application,application,employer_artifact,both
shaped,yes,yes,1,Direct application / ATS,application,employer_artifact,both
sidepocket,yes,yes,1,LinkedIn application,application,platform_log,both
slingshot,yes,yes,1,Direct application / ATS,application,employer_artifact,both
smallbusinessgrowthalliancesbga,yes,no,1,Recruiter outbound / intermediary,,,workbook_only_opportunity
smartmode,yes,no,1,Direct application / ATS,,,workbook_only_application
smeetz,yes,yes,1,Direct application / ATS,application,employer_artifact,both
solant,no,yes,0,,application,platform_log,repository_only
solaya,yes,yes,1,LinkedIn application,application,platform_log,both
soliant,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
solvhealth,yes,yes,1,Direct application / ATS,application,employer_artifact,both
sotalent,yes,no,1,LinkedIn application,,,workbook_only_application
speakeasy,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
speechify,yes,yes,1,Direct application / ATS,application,employer_artifact,both
spidercloud,yes,yes,1,Direct application / ATS,application,employer_artifact,both
stack,yes,yes,1,Jobright.ai application,application,employer_artifact,both
starbridge,yes,no,1,Recruiter outbound / intermediary,,,workbook_only_opportunity
stealthcompanyviaper1b05c163b351,yes,no,1,Recruiting marketplace,,,workbook_only_opportunity
stealthstartup,yes,no,1,LinkedIn application,,,workbook_only_application
stealthusstartup,yes,no,1,LinkedIn cold outreach,,,workbook_only_opportunity
stedi,yes,yes,1,Jobright.ai application,application,employer_artifact,both
stellarsubstitute,yes,yes,1,Direct application / ATS,application,employer_artifact,both
sur,yes,yes,1,Direct application / ATS,application,employer_artifact,both
swarm,yes,no,1,LinkedIn application,,,workbook_only_application
switchyards,yes,yes,1,Direct application / ATS,application,employer_artifact,both
syncro,yes,yes,1,Direct application / ATS,application,employer_artifact,both
talentpluto,yes,yes,2,LinkedIn application,application,employer_artifact,both
tapcheck,yes,yes,2,Direct application / ATS,application,employer_artifact,both
taste,yes,yes,1,LinkedIn application,application,platform_log,both
techlinksphere,yes,yes,1,LinkedIn application,application,platform_log,both
tekion,yes,yes,1,Jobright.ai application,application,employer_artifact,both
teleport,yes,yes,1,Direct application / ATS,application,employer_artifact,both
telnyx,yes,yes,1,Jobright.ai application,application,employer_artifact,both
testgorilla,yes,yes,1,Direct application / ATS,application,employer_artifact,both
thebiologicalcomputingcotbc,yes,yes,1,LinkedIn application,application,platform_log,both
thehog,yes,no,1,LinkedIn application,,,workbook_only_application
thekiln,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
thevincit,yes,yes,1,LinkedIn application,application,platform_log,both
theworkflowcompany,yes,no,1,LinkedIn cold outreach,,,workbook_only_opportunity
thomsonreuters,yes,yes,1,Jobright.ai application,application,employer_artifact,both
thrivent,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
tigerdata,yes,yes,1,Direct application / ATS,application,employer_artifact,both
toast,no,yes,0,,application,employer_artifact,repository_only
together,yes,yes,2,Direct application / ATS,application,employer_artifact,both
trace3,yes,yes,1,Direct application / ATS,application,employer_artifact,both
tractian,yes,yes,2,Direct application / ATS; Jobright.ai application,application,employer_artifact,both
trase,yes,yes,2,Direct application / ATS; Jobright.ai application,application,employer_artifact,both
tripleseat,yes,yes,1,Direct application / ATS,application,employer_artifact,both
truebuilt,yes,yes,1,LinkedIn application,application,platform_log,both
uncapped,yes,yes,1,LinkedIn application,application,employer_artifact,both
unframe,yes,yes,2,Direct application / ATS; Jobright.ai application,application,employer_artifact,both
unknown,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
unknownagencyclient,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
unknownaisaasbiotechcompanyviapera02182d1f7af,yes,no,1,Recruiter outbound / intermediary,,,workbook_only_opportunity
unknownconstructionfabricationsaas,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
unknowndigitalproductbuilder,yes,no,1,LinkedIn cold outreach,,,workbook_only_opportunity
unknownemployerviawilsonhr,yes,no,1,Recruiter outbound / intermediary,,,workbook_only_opportunity
unknownfinancialagency,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
unknownfinancialteam,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
unknownflextonclient,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
unknownfortune500client,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
unknownhospiceclient,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
unknownper648a39346310referral,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
unknownper950db4b78993scompany,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
unknownseriesbwarehouseintelligencestartup,yes,no,1,LinkedIn recruiter/person outreach,,,workbook_only_opportunity
